tanggal,user,txt,analysis
2020-12-14 16:05:28,Bamboozle8787,"ike_Pence ealDonaldTrump It is a great day! Our electors will vote for Joe Biden today, providing the proud boy…",positif
2020-12-14 16:05:28,rayray94,ilaryluros We need to tell King Sore Loser that every time he loses a lawsuit or a recount it adds another year t…,negatif
2020-12-14 16:05:28,obx_on,ernovich TLegionaire Jill Biden doctor,negatif
2020-12-14 16:05:28,Lyonlllisa,hebradfordfile arbara73063051 And Joe Biden being big Boss to Hunter’s shenanigans makes him worse than a clown,negatif
2020-12-14 16:05:27,butterflly63,Electoral College votes today and will seal Trump's fate -- again,negatif
2020-12-14 16:05:27,ten24get,Perspective | The Wall Street Journal column about Jill Biden is worse than you thought J #JosephEpstein,negatif
2020-12-14 16:05:27,DelatowerP,"eanhannity Good morning trumpanzees, today the Electoral College will confirm Joe Biden’s landslide victory of 30…",positif
2020-12-14 16:05:26,joebidenwon2,iffanyWatters2 ewser_SW nnew003 atthewJshow ealDonaldTrump ariaBartiromo And just what did you vote for…,negatif
2020-12-14 16:05:26,PaulCogan,"It’s clear that with the Electoral College set to formally elect Joe Biden as President today, Donald Trump is goin…",positif
2020-12-14 16:05:26,MaddocksT,ash_O_Pepper mpadellan Cool coz it's like he's looking to go to Maralago on inauguration day but how's he get t…,positif
2020-12-14 16:05:25,NewsInAmerica1,Biden 7 Trump 11,negatif
2020-12-14 16:05:25,Sugarjet1,THE DEAD VOTED FOR BIDEN!,negatif
2020-12-14 16:05:24,mje_shadowfall,"Krystal Ball: In Leaked Audio, Biden SHOCKINGLY Similar To Trump via ouTube",negatif
2020-12-14 16:05:24,StephanieA2527,Why is everyone making a big deal about Biden’s wife being called a de? She has a PhD. Ever personal I know with a PhD is referenced as Dr.,negatif
2020-12-14 16:05:24,ThisBarbara,"Today healthcare workers get the vaccine AND the electoral college votes in Biden, so TODAY IS A REALLY GOOD DAY SO FAR.",positif
2020-12-14 16:05:24,Kietsie_Katjie,Biden called. He wants you to stay with him in his basement.,positif
2020-12-14 16:05:24,dennis_roddy,"With Tennessee and Indiana's combined 22electoral votes, Trump surges to an early lead over Joe Biden. This is goin…",positif
